text,label
Absolutely loved the pizza. It was full of flavor and cooked to perfection.,POSITIVE
A delightful experience with the paneer tikka — flavorful and satisfying.,POSITIVE
The garlic naan exceeded my expectations. Just wow!,POSITIVE
Such a comforting and satisfying burger. Perfectly done.,POSITIVE
Absolutely loved the chocolate lava cake. It was full of flavor and cooked to perfection.,POSITIVE
Such a comforting and satisfying burger. Perfectly done.,POSITIVE
The grilled cheese was perfectly balanced and absolutely delicious.,POSITIVE
Absolutely loved the burger. It was full of flavor and cooked to perfection.,POSITIVE
Highly recommend the paneer tikka. It hit all the right notes.,POSITIVE
Flavors in the garlic naan were amazing. Would order again without a doubt.,POSITIVE
I’m definitely coming back for the paneer tikka — so fresh and tasty!,POSITIVE
Flavors in the pizza were amazing. Would order again without a doubt.,POSITIVE
Absolutely loved the garlic naan. It was full of flavor and cooked to perfection.,POSITIVE
Really enjoyed the sushi platter. Everything was just right.,POSITIVE
The chocolate lava cake was criminally good — I demand an investigation.,POSITIVE
"Wow, the butter chicken was so perfect I almost forgot how sad my life is.",POSITIVE
Guess I’ll just dream about that butter chicken for the rest of my life.,POSITIVE
The sushi platter was criminally good — I demand an investigation.,POSITIVE
The butter chicken was criminally good — I demand an investigation.,POSITIVE
The grilled cheese was criminally good — I demand an investigation.,POSITIVE
Eating the biryani felt like a warm hug from someone who actually cares.,POSITIVE
That paneer tikka just disrespected every other dish I’ve ever loved.,POSITIVE
"The butter chicken was so good, I briefly considered proposing to it.",POSITIVE
One bite of the sushi platter and now I’m emotionally attached. Thanks a lot.,POSITIVE
The biryani was criminally good — I demand an investigation.,POSITIVE
"The chocolate lava cake was so good, I briefly considered proposing to it.",POSITIVE
"Didn't expect much from the chocolate lava cake, and now it's my new personality.",POSITIVE
Eating the chocolate lava cake felt like a warm hug from someone who actually cares.,POSITIVE
"Wow, the sushi platter was so perfect I almost forgot how sad my life is.",POSITIVE
"Oh sure, make your grilled cheese this good and ruin all future meals for me.",POSITIVE
One bite of the pizza and now I’m emotionally attached. Thanks a lot.,POSITIVE
Guess I’ll just dream about that chocolate lava cake for the rest of my life.,POSITIVE
"The burger was so good, I briefly considered proposing to it.",POSITIVE
Note to self: never judge a burger by its menu description again.,POSITIVE
That paneer tikka just disrespected every other dish I’ve ever loved.,POSITIVE
The burger was criminally good — I demand an investigation.,POSITIVE
"Didn't expect much from the chocolate lava cake, and now it's my new personality.",POSITIVE
Note to self: never judge a garlic naan by its menu description again.,POSITIVE
"Wow, the biryani was so perfect I almost forgot how sad my life is.",POSITIVE
"Didn't expect much from the sushi platter, and now it's my new personality.",POSITIVE
"Didn't expect much from the sushi platter, and now it's my new personality.",POSITIVE
Guess I’ll just dream about that biryani for the rest of my life.,POSITIVE
"Didn't expect much from the paneer tikka, and now it's my new personality.",POSITIVE
"Oh sure, make your biryani this good and ruin all future meals for me.",POSITIVE
That pasta just disrespected every other dish I’ve ever loved.,POSITIVE
Eating the sushi platter felt like a warm hug from someone who actually cares.,POSITIVE
One bite of the chocolate lava cake and now I’m emotionally attached. Thanks a lot.,POSITIVE
That pizza just disrespected every other dish I’ve ever loved.,POSITIVE
One bite of the garlic naan and now I’m emotionally attached. Thanks a lot.,POSITIVE
The chocolate lava cake was criminally good — I demand an investigation.,POSITIVE
"Oh sure, make your grilled cheese this good and ruin all future meals for me.",POSITIVE
"The sushi platter was so good, I briefly considered proposing to it.",POSITIVE
"Oh sure, make your paneer tikka this good and ruin all future meals for me.",POSITIVE
Guess I’ll just dream about that pasta for the rest of my life.,POSITIVE
The biryani was criminally good — I demand an investigation.,POSITIVE
Guess I’ll just dream about that garlic naan for the rest of my life.,POSITIVE
Guess I’ll just dream about that grilled cheese for the rest of my life.,POSITIVE
Note to self: never judge a butter chicken by its menu description again.,POSITIVE
"The pizza was so good, I briefly considered proposing to it.",POSITIVE
The burger was criminally good — I demand an investigation.,POSITIVE
Guess I’ll just dream about that pasta for the rest of my life.,POSITIVE
Guess I’ll just dream about that chocolate lava cake for the rest of my life.,POSITIVE
That garlic naan just disrespected every other dish I’ve ever loved.,POSITIVE
"Oh sure, make your garlic naan this good and ruin all future meals for me.",POSITIVE
