text,label
"Wow, that biryani really taught me patience — one bland bite at a time.",NEGATIVE
Who knew sadness could be served as butter chicken?,NEGATIVE
Guess the burger was seasoned with disappointment and broken dreams.,NEGATIVE
The burger was so bad it made me miss airplane food.,NEGATIVE
Bold move calling that thing a garlic naan. Very bold.,NEGATIVE
The garlic naan was a culinary crime — where’s the food police?,NEGATIVE
That chocolate lava cake was a flavorless adventure I didn’t sign up for.,NEGATIVE
Bold move calling that thing a sushi platter. Very bold.,NEGATIVE
"Wow, that butter chicken really taught me patience — one bland bite at a time.",NEGATIVE
"The biryani was so dry, I needed a drink just to survive it.",NEGATIVE
Bold move calling that thing a pasta. Very bold.,NEGATIVE
"After eating the chocolate lava cake, I realized I’m not that hungry after all.",NEGATIVE
Who knew sadness could be served as butter chicken?,NEGATIVE
Guess the chocolate lava cake was seasoned with disappointment and broken dreams.,NEGATIVE
The sushi platter was a culinary crime — where’s the food police?,NEGATIVE
"The butter chicken was so dry, I needed a drink just to survive it.",NEGATIVE
"After eating the sushi platter, I realized I’m not that hungry after all.",NEGATIVE
"Wow, that pasta really taught me patience — one bland bite at a time.",NEGATIVE
Who knew sadness could be served as pizza?,NEGATIVE
Bold move calling that thing a chocolate lava cake. Very bold.,NEGATIVE
The garlic naan was so bad it made me miss airplane food.,NEGATIVE
Guess the pizza was seasoned with disappointment and broken dreams.,NEGATIVE
That garlic naan was a flavorless adventure I didn’t sign up for.,NEGATIVE
Guess the biryani was seasoned with disappointment and broken dreams.,NEGATIVE
Who knew sadness could be served as pasta?,NEGATIVE
"The biryani was so dry, I needed a drink just to survive it.",NEGATIVE
The garlic naan was so bad it made me miss airplane food.,NEGATIVE
The butter chicken was so bad it made me miss airplane food.,NEGATIVE
The burger was so bad it made me miss airplane food.,NEGATIVE
Amazing how the pasta managed to insult all five senses.,NEGATIVE
Guess the paneer tikka was seasoned with disappointment and broken dreams.,NEGATIVE
Amazing how the pizza managed to insult all five senses.,NEGATIVE
"After eating the sushi platter, I realized I’m not that hungry after all.",NEGATIVE
"Wow, that burger really taught me patience — one bland bite at a time.",NEGATIVE
Who knew sadness could be served as butter chicken?,NEGATIVE
"Wow, that pizza really taught me patience — one bland bite at a time.",NEGATIVE
"The butter chicken was so dry, I needed a drink just to survive it.",NEGATIVE
Amazing how the sushi platter managed to insult all five senses.,NEGATIVE
The chocolate lava cake was a culinary crime — where’s the food police?,NEGATIVE
Amazing how the garlic naan managed to insult all five senses.,NEGATIVE
Who knew sadness could be served as butter chicken?,NEGATIVE
That garlic naan was a flavorless adventure I didn’t sign up for.,NEGATIVE
Bold move calling that thing a butter chicken. Very bold.,NEGATIVE
Who knew sadness could be served as grilled cheese?,NEGATIVE
